,openmlid,learner,violation,acceptance
268,28,sklearn.neighbors.KNeighborsClassifier,-0.0043367257720421095,0.0006845807977477009
269,28,sklearn.neural_network.MLPClassifier,-0.00477388555577061,0.0005302077285336432
270,28,sklearn.tree.DecisionTreeClassifier,-0.0007500646209519526,0.0005069118042697309
271,28,sklearn.tree.ExtraTreeClassifier,-0.0020652099374987654,0.00043681582431362106
272,30,SVC_linear,-0.01141918572984749,0.004854302832244007
273,30,SVC_poly,-0.001377217553688143,0.0049762329174094025
274,30,SVC_rbf,-0.0019753991528185053,0.0013760880696364413
275,30,SVC_sigmoid,-0.006138545953360753,0.001954732510288064
276,30,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.00023659709433190035,0.0021869244935543313
277,30,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.01332129699660868,0.008284130740641344
278,30,sklearn.ensemble.ExtraTreesClassifier,-0.0015769044153323647,0.0008895358240336408
279,30,sklearn.ensemble.GradientBoostingClassifier,-0.0023079581358609828,0.000982424960505531
280,30,sklearn.ensemble.RandomForestClassifier,-0.0005119842233009717,0.0012338187702265373
281,30,sklearn.linear_model.LogisticRegression,-0.0006626491703513516,0.0008855132410973249
282,30,sklearn.linear_model.PassiveAggressiveClassifier,-0.014606092903455036,0.005397903899102942
283,30,sklearn.linear_model.Perceptron,-0.015361952861952867,0.00915977656924732
284,30,sklearn.linear_model.RidgeClassifier,-0.0007309941520467936,0.0012615544236936449
285,30,sklearn.linear_model.SGDClassifier,-0.007620908523950351,0.006827509203935066
286,30,sklearn.naive_bayes.BernoulliNB,0.0,0.0
287,30,sklearn.naive_bayes.MultinomialNB,-0.006032547699214362,0.008407487574154236
288,30,sklearn.neighbors.KNeighborsClassifier,-0.001157407407407407,0.001294324687463493
289,30,sklearn.neural_network.MLPClassifier,-0.005923302393746947,0.013658198990392464
290,30,sklearn.tree.DecisionTreeClassifier,-0.002663874191651952,0.0007716049382716051
291,30,sklearn.tree.ExtraTreeClassifier,-0.0004796463129796459,0.0018421198976754506
292,31,SVC_linear,-0.011914954337899542,0.00657004240052186
293,31,SVC_poly,-0.0037274544835800955,0.0030096137485111692
294,31,SVC_rbf,-0.013172095761381468,0.0027014652014652044
295,31,SVC_sigmoid,-0.009911616161616347,0.037067099567099505
296,31,sklearn.ensemble.ExtraTreesClassifier,-0.007753289003289032,0.0037975475475475555
297,31,sklearn.ensemble.GradientBoostingClassifier,-0.0038234718347770692,0.004016786570743413
298,31,sklearn.ensemble.RandomForestClassifier,-0.008363095238095253,0.006055555555555553
299,31,sklearn.linear_model.LogisticRegression,-0.005112027319673503,0.008478399689044376
